"Comunidad";"Provincia";"Numero";"Estacion";"Altitud";"UTMX";"UTMY";"Huso";"Latitud";"Longitud";"SignoLongitud"
"Andalucia";"Cádiz";1;"Basurta-Jerez de la Frontera";60;766377;4072277;;"36º 45' 29”";"06º 00' 58'' ";"-"
"Andalucia";"Cádiz";5;"Conil de la Frontera";26;757532;4025267;;"36º 20' 14'' ";"06º 07' 50''";"-"
"Andalucia";"Cádiz";101;"IFAPA Centro de Chipiona";7;732243;4070604;;"36º 45' 07''";"06º 23' 55''";"-"
"Andalucia";"Cádiz";2;"Jerez de la Frontera";32;767119;4059604;;"36º 38' 38''";"06º 00' 44''";"-"
"Andalucia";"Cádiz";7;"Jimena de la Frontera";53;286186;4032550;;"36º 24' 49''";"05º 23' 04''";"-"
"Andalucia";"Cádiz";10;"Puerto de Santa María";20;753735;4055018;;"36º 37' 03''";"06º 09' 05''";"-"
"Andalucia";"Cádiz";8;"Puerto de Santa María";20;754761;4056297;;"36º 37' 03''";"06º 09' 05''";"-"
"Andalucia";"Cádiz";9;"Sanlúcar de Barrameda";22;204391,3;4075859,2;;"36º 50' 07''";"06º 17' 38''";"-"
"Andalucia";"Cádiz";6;"Vejer de Frontera";24;245032;4019509;;"36º 17' 10''";"05º 50' 19''";"-"
"Andalucia";"Cádiz";4;"Villamartín";171;266228;4081004;;"36º 50' 43''";"05º 37' 18''";"-"
"Andalucia";"Sevilla";5;"Aznalcázar ";4;742264;4115401;;"37º 09' 10''";"06º 16' 19''";"-"
"Andalucia";"Sevilla";9;"Ecija";125;316742;4162890;;"37º 35' 39''";"05º 04' 32''";"-"
"Andalucia";"Sevilla";17;"Guillena";191;759588;4156231;;"37º 30' 57''";"06º 03' 46''";"-"
"Andalucia";"Sevilla";19;"IFAPA Centro Las Torres-Tomejil";11;238115;4156016;;"37º 30' 48''";"05º 57' 46''";"-"
"Andalucia";"Sevilla";21;"IFAPA Centro de Los Palacios";21;238591;4119785;;"37º 11' 14''";"05º 56' 41''";"-"
"Andalucia";"Sevilla";101;"IFAPA Centro Las Torres-Tomejil, Finca Tomejil";79;271069;4142690;;"37º 24' 07''";"05º 35' 10''";"-"
"Andalucia";"Sevilla";20;"Isla Mayor";35;755917;4111564;;"37º 06' 53''";"06º 07' 11''";"-"
"Andalucia";"Sevilla";10;"La Luisiana";188;303201;4155652;;"37º 31' 34''";"05º 13' 37''";"-"
"Andalucia";"Sevilla";7;"La Puebla del Río";25;754404;4124003;;"37º 13' 38''";"06º 07' 57''";"-"
"Andalucia";"Sevilla";8;"La Puebla del Río II";41;762644;4108077;;"37º 04' 53''";"06º 02' 43''";"-"
"Andalucia";"Sevilla";12;"La Rinconada";37;241387;4149790;;"37º 27' 29''";"05º 55' 25''";"-"
"Andalucia";"Sevilla";2;"Las Cabezas de San Juan";25;243428;4100700;;"37º 01' 00''";"05º 53' 01''";"-"
"Andalucia";"Sevilla";3;"Lebrija I";25;755906;4096340;;"36º 58' 40''";"06º 07' 30''";"-"
"Andalucia";"Sevilla";4;"Lebrija 2";40;766472;4088031;;"36º 54' 00''";"06º 00' 34''";"-"
"Andalucia";"Sevilla";15;"Lora del Río";68;276058;4171237;;"37º 39' 37''";"05º 32' 19''";"-"
"Andalucia";"Sevilla";16;"Los Morales";90;262802;4117969;;"37º 10' 38''";"05º 40' 18''";"-"
"Andalucia";"Sevilla";1;"Los Palacios y Villafranca";21;239190;4118995;;"37º 10' 49''";"05º 56' 15''";"-"
"Andalucia";"Sevilla";11;"Osuna";214;310778;4125500;;"37º 15' 22''";"05º 08' 01''";"-"
"Andalucia";"Sevilla";18;"Puebla Cazalla";229;291518;4121868;;"37º 13' 09''";"05º 20' 58''";"-"
"Andalucia";"Sevilla";13;"Sanlúcar La Mayor";88;743029;4145411;;"37º 25' 22''";"06º 15' 13''";"-"
"Andalucia";"Sevilla";6;"Villafranco del Guadalquivir";45;753295;4109806;;"37º 05' 59''";"06º 08' 59''";"-"
"Andalucia";"Sevilla";22;"Villanueva del Río y Minas";38;262609;4164005;;"37º 36' 52''";"05º 40' 57''";"-"
"Andalucia";"Sevilla";14;"Villanueva del Río y Minas";38;263221;4166507;;"38º 36' 52''";"6º 40' 57''";"-"
"Andalucia";"Jaén";6;"Alcaudete";645;404875;4159665;30;;;
"Andalucia";"Jaén";11;"Chiclana de Segura";510;504003;4239630;30;;;
"Andalucia";"Jaén";1;"Huesa";793;494672;4177995;30;;;
"Andalucia";"Jaén";104;"IFAPA Centro MEngibar";292;430902;430902;30;;;
"Andalucia";"Jaén";15;"Jaén";299;432285;4194160;30;;;
"Andalucia";"Jaén";103;"Jódar";488;470716;4192610;30;;;
"Andalucia";"Jaén";12;"La Higuera de Arjona";267;411556;4200824;30;;;
"Andalucia";"Jaén";9;"Linares";443;443111;4212750;30;;;
"Andalucia";"Jaén";7;"Mancha Real";436;447686;4196913;30;;;
"Andalucia";"Jaén";16;"Marmolejo";208;396245;4211908;30;;;
"Andalucia";"Jaén";10;"Marmolejo";208;400901;4212858;30;;;
"Andalucia";"Jaén";13;"Mengíbar";373;427706;4202345;30;;;
"Andalucia";"Jaén";2;"Pozo Alcón";893;506267;4169627;30;;;
"Andalucia";"Jaén";4;"Sabiote";822;479441;4214871;30;;;
"Andalucia";"Jaén";3;"San José de los Propios";509;479835;4190273;30;;;
"Andalucia";"Jaén";14;"Santo Tomé";571;492827;4209275;30;;;
"Andalucia";"Jaén";5;"Torreblascopedro";291;439562;4204997;30;;;
"Andalucia";"Jaén";101;"Torreperogil";536;478684;4203206;30;;;
"Andalucia";"Jaén";8;"Ubeda";358;473694;4199725;30;;;
"Andalucia";"Jaén";102;"Villacarrillo";650;482519;4213079;30;;;
"Andalucia";"Almería";10;"Adra";42;500710;4066978;30;;;
"Andalucia";"Almería";2;"Almería";22;553334;4076947;30;;;
"Andalucia";"Almería";8;"Cuevas de Almanzora";20;606478;4124237;30;;;
"Andalucia";"Almería";5;"Fiñana";971;514418;4112459;30;;;
"Andalucia";"Almería";1;"La Mojonera";142;526472;4071536;30;;;
"Andalucia";"Almería";11;"Níjar";182;575091;4089921;30;;;
"Andalucia";"Almería";4;"Tabernas";435;562095;4105449;30;;;
"Andalucia";"Almería";12;"Tíjola";796;547943;4137207;30;;;
"Andalucia";"Almería";6;"Virgen de Fátima-Cuevas de Almanzora";185;608951;4138960;30;;;
"Andalucia";"Córdoba";2;"Adamuz";90;373219;4206727;30;;;
"Andalucia";"Córdoba";8;"Baena";334;384952;4172611;30;;;
"Andalucia";"Córdoba";1;"Bélmez";523;306747;4236499;30;;;
"Andalucia";"Córdoba";6;"Córdoba";117;341642;4192085;30;;;
"Andalucia";"Córdoba";5;"El Carpio";165;367901;4197541;30;;;
"Andalucia";"Córdoba";4;"Hornachuelos";157;309705;4177125;30;;;
"Andalucia";"Córdoba";101;"IFAPA Centro de Cabra";547;373628;4151309;30;;;
"Andalucia";"Córdoba";102;"IFAPA Centro de Hinojosa del Duque";543;315628;4263208;30;;;
"Andalucia";"Córdoba";9;"Palma del Río";55;303825;4177917;30;;;
"Andalucia";"Córdoba";7;"Santaella";207;333494;4154701;30;;;
"Andalucia";"Granada";11;"Almuñecar";14;438973;4066413;30;;;
"Andalucia";"Granada";1;"Baza";814;520628;4157712;30;;;
"Andalucia";"Granada";7;"Cádiar";950;483724;4086564;30;;;
"Andalucia";"Granada";101;"IFAPA Centro Camino del Purchil";630;443423;4114357;30;;;
"Andalucia";"Granada";5;"Iznalloz";935;451312;4141428;30;;;
"Andalucia";"Granada";6;"Jerez del Marquesado";1212;486806;4116224;30;;;
"Andalucia";"Granada";3;"Loja";487;399051;4114478;30;;;
"Andalucia";"Granada";10;"Padul";781;446712;4097327;30;;;
"Andalucia";"Granada";4;"Pinos Puente";594;431534;4124395;30;;;
"Andalucia";"Granada";2;"Puebla de Don Fabrique";1110;554482;4192456;30;;;
"Andalucia";"Granada";8;"Zafarraya";905;397421;4094617;30;;;
"Andalucia";"Huelva";10;"Almonte";18;724620;4114778;;"37º 09' 06''";"06º 28' 14''";"-"
"Andalucia";"Huelva";6;"Aroche";299;680649;4203384;;"37º 57' 34''";"06º 56' 37''";"-"
"Andalucia";"Huelva";8;"El Campillo";406;711868;4171123;;"37º 39' 44''";"06º 35' 53''";"-"
"Andalucia";"Huelva";1;"El Tojalillo-Gibraleón";52;674879;4132208;;"37º 19' 10''";"07º 01' 35''";"-"
"Andalucia";"Huelva";3;"Gibraleón";169;671800;4142595;;"37º 24' 49''";"07º 03' 31''";"-"
"Andalucia";"Huelva";101;"IFAPA Centro Las Torres-Tomegil. Finca El Cebollar";63;162785;4128508;;"37º 14' 29''";"06º 48' 03''";"-"
"Andalucia";"Huelva";102;"IFAPA El Cebollar Bajo plastico";63;162886;4128606;;"37º 14' 32''";"06º 47' 59''";"-"
"Andalucia";"Huelva";9;"La Palma del Condado";192;717814;4138619;;"37º 22' 05''";"06º 32' 25''";"-"
"Andalucia";"Huelva";7;"La Puebla de Guzmán";288;654836;4157771;;"37º 33' 12''";"07º 14' 49''";"-"
"Andalucia";"Huelva";2;"Lepe";74;655814;4123108;;"37º 14' 27''";"07º 14' 36''";"-"
"Andalucia";"Huelva";4;"Moguer";87;696178;4113619;;"37º 08' 52''";"06º 47' 28''";"-"
"Andalucia";"Huelva";5;"Niebla";52;700713;4135997;;"37º 20' 54''";"06º 44' 02''";"-"
"Andalucia";"Málaga";10;"Antequera";457;360377;4100109;30;;;
"Andalucia";"Málaga";5;"Archidona";516;372960;4104563;30;;;
"Andalucia";"Málaga";9;"Cártama";95;350221;4064985;30;;;
"Andalucia";"Málaga";101;"IFAPA Centro de Campanillas";60;360742;4066161;30;;;
"Andalucia";"Málaga";7;"IFAPA Churriana";32;365802;4059951;30;;;
"Andalucia";"Málaga";1;"Málaga";68;362843;4069159;30;;;
"Andalucia";"Málaga";8;"Pizarra";84;347015;4070556;30;;;
"Andalucia";"Málaga";6;"Sierra Yeguas";464;337035;4112001;30;;;
"Andalucia";"Málaga";2;"Vélez-Málaga";49;399138;4073067;30;;;
"Aragón";"Zaragoza";3;"Sádaba";438;639535;4681057;30;;;
"Aragón";"Zaragoza";4;"El Bayo";379;644736;4670972;30;;;
"Aragón";"Zaragoza";5;"Ejea de los Caballeros";317;649276;4662411;30;;;
"Aragón";"Zaragoza";6;"Luna";409;670788;4662687;30;;;
"Aragón";"Zaragoza";7;"Tauste";361;653910;4651678;30;;;
"Aragón";"Zaragoza";8;"Santa Engracia";253;638544;4642591;30;;;
"Aragón";"Zaragoza";28;"Tarazona";516;604106;4641438;30;;;
"Aragón";"Zaragoza";29;"Borja";366;623985;4634978;30;;;
"Aragón";"Zaragoza";30;"Torres de Bellerén";209;660624;4626529;30;;;
"Aragón";"Zaragoza";31;"Épila";321;643200;4604933;30;;;
"Aragón";"Zaragoza";32;"Almonacid de la Sierra";393;639593;4590498;30;;;
"Aragón";"Zaragoza";33;"Zuera";302;686739;4637927;30;;;
"Aragón";"Zaragoza";34;"Montañana";222;680982;4620427;30;;;
"Aragón";"Zaragoza";35;"Pastriz";524;612376;4576711;30;;;
"Aragón";"Zaragoza";36;"Osera de Ebro";253;705581;4602408;30;;;
"Aragón";"Zaragoza";37;"Quinto";239;707573;4585050;30;;;
"Aragón";"Zaragoza";38;"Caspe";175;745309;4576848;30;;;
"Aragón";"Zaragoza";39;"Fabara";246;261253;4561304;31;;;
"Aragón";"Zaragoza";40;"Calatayud";518;615956;4580234;30;;;
"Aragón";"Zaragoza";41;"Belchite";328;690709;4580358;30;;;
"Aragón";"Zaragoza";43;"Daroca";753;632372;4552156;30;;;
"Aragón";"Zaragoza";49;"Boquiñeni";245;645276;4634116;30;;;
"Aragón";"Huesca";1;"Santa Cilia de Jaca";666;687216;4715191;30;;;
"Aragón";"Huesca";2;"Banastón";562;267097;4697206;31;;;
"Aragón";"Huesca";9;"Gurrea de Gállego";363;688023;4651685;30;;;
"Aragón";"Huesca";10;" Huesca";420;716924;4665025;30;;;
"Aragón";"Huesca";11;"Barbastro";410;261015;4655478;31;;;
"Aragón";"Huesca";12;"Selgua";304;261866;4647275;31;;;
"Aragón";"Huesca";13;"Alfántega";246;263211;4634139;31;;;
"Aragón";"Huesca";14;"Alcolea de Cinca";227;256708;4625361;31;;;
"Aragón";"Huesca";15;"San Esteban de Litera";315;276412;4640493;31;;;
"Aragón";"Huesca";16;"Tamarite de Litera";221;282122;4628985;31;;;
"Aragón";"Huesca";17;"Tardienta";361;706628;4649593;30;;;
"Aragón";"Huesca";18;"Grañén";312;719275;4647006;30;;;
"Aragón";"Huesca";19;"Huerto";415;737390,00;4648171;30;;;
"Aragón";"Huesca";20;"Sodeto";312;727666,00;4640742;30;;;
"Aragón";"Huesca";21;"Lanaja";368;721315,00;4629695;30;;;
"Aragón";"Huesca";22;"Sariñena";283;734771,00;4628457;30;;;
"Aragón";"Huesca";23;"Valfarta";352;738048,00;4601902;30;;;
