"Comunidad";"Provincia";"N_Provincia";"N_Estacion";"Estacion";"Altitud";"UTMX";"UTMY";"Huso";"Latitud";"Longitud";"SignoLongitud"
"Andalucia";"Cádiz";11;1;"Basurta-Jerez de la Frontera";60;766377;4072277;;"36º 45' 29''";"06º 00' 58'' ";-0
"Andalucia";"Cádiz";11;5;"Conil de la Frontera";26;757532;4025267;;"36º 20' 14'' ";"06º 07' 50''";-0
"Andalucia";"Cádiz";11;101;"IFAPA Centro de Chipiona";7;732243;4070604;;"36º 45' 07''";"06º 23' 55''";-0
"Andalucia";"Cádiz";11;2;"Jerez de la Frontera";32;767119;4059604;;"36º 38' 38''";"06º 00' 44''";-0
"Andalucia";"Cádiz";11;7;"Jimena de la Frontera";53;286186;4032550;;"36º 24' 49''";"05º 23' 04''";-0
"Andalucia";"Cádiz";11;10;"Puerto de Santa María";20;753735;4055018;;"36º 37' 03''";"06º 09' 05''";-0
"Andalucia";"Cádiz";11;8;"Puerto de Santa María";20;754761;4056297;;"36º 37' 03''";"06º 09' 05''";-0
"Andalucia";"Cádiz";11;9;"Sanlúcar de Barrameda";22;204391,3;4075859,2;;"36º 50' 07''";"06º 17' 38''";-0
"Andalucia";"Cádiz";11;6;"Vejer de Frontera";24;245032;4019509;;"36º 17' 10''";"05º 50' 19''";-0
"Andalucia";"Cádiz";11;4;"Villamartín";171;266228;4081004;;"36º 50' 43''";"05º 37' 18''";-0
"Andalucia";"Sevilla";41;5;"Aznalcázar ";4;742264;4115401;;"37º 09' 10''";"06º 16' 19''";-0
"Andalucia";"Sevilla";41;9;"Ecija";125;316742;4162890;;"37º 35' 39''";"05º 04' 32''";-0
"Andalucia";"Sevilla";41;17;"Guillena";191;759588;4156231;;"37º 30' 57''";"06º 03' 46''";-0
"Andalucia";"Sevilla";41;19;"IFAPA Centro Las Torres-Tomejil";11;238115;4156016;;"37º 30' 48''";"05º 57' 46''";-0
"Andalucia";"Sevilla";41;21;"IFAPA Centro de Los Palacios";21;238591;4119785;;"37º 11' 14''";"05º 56' 41''";-0
"Andalucia";"Sevilla";41;101;"IFAPA Centro Las Torres-Tomejil, Finca Tomejil";79;271069;4142690;;"37º 24' 07''";"05º 35' 10''";-0
"Andalucia";"Sevilla";41;20;"Isla Mayor";35;755917;4111564;;"37º 06' 53''";"06º 07' 11''";-0
"Andalucia";"Sevilla";41;10;"La Luisiana";188;303201;4155652;;"37º 31' 34''";"05º 13' 37''";-0
"Andalucia";"Sevilla";41;7;"La Puebla del Río";25;754404;4124003;;"37º 13' 38''";"06º 07' 57''";-0
"Andalucia";"Sevilla";41;8;"La Puebla del Río II";41;762644;4108077;;"37º 04' 53''";"06º 02' 43''";-0
"Andalucia";"Sevilla";41;12;"La Rinconada";37;241387;4149790;;"37º 27' 29''";"05º 55' 25''";-0
"Andalucia";"Sevilla";41;2;"Las Cabezas de San Juan";25;243428;4100700;;"37º 01' 00''";"05º 53' 01''";-0
"Andalucia";"Sevilla";41;3;"Lebrija I";25;755906;4096340;;"36º 58' 40''";"06º 07' 30''";-0
"Andalucia";"Sevilla";41;4;"Lebrija 2";40;766472;4088031;;"36º 54' 00''";"06º 00' 34''";-0
"Andalucia";"Sevilla";41;15;"Lora del Río";68;276058;4171237;;"37º 39' 37''";"05º 32' 19''";-0
